HOSTNAME,flp,cru,CRU_SN,pp,part,nstaves,start_board_id
alio2-cr1-flp187.cern.ch,0,0,0183,PP1-I-3,L0T,6,0
alio2-cr1-flp187.cern.ch,0,1,0172,PP1-O-4,L0B,6,6
alio2-cr1-flp188.cern.ch,1,0,0181,PP1-I-3,L1T,8,0
alio2-cr1-flp188.cern.ch,1,1,0196,PP1-O-4,L1B,8,8
alio2-cr1-flp189.cern.ch,2,0,0184,PP1-I-4,L2TI,5,0
alio2-cr1-flp189.cern.ch,2,1,0191,PP1-I-4,L2TO,5,5
alio2-cr1-flp190.cern.ch,3,0,0179,PP1-O-3,L2BO,5,10
alio2-cr1-flp190.cern.ch,3,1,0192,PP1-O-3,L2BI,5,15
alio2-cr1-flp191.cern.ch,4,0,0175,PP1-I-2;PP1-O-2,L3T,12,0
alio2-cr1-flp191.cern.ch,4,1,0182,PP1-I-5;PP1-O-5,L3B,12,12
alio2-cr1-flp192.cern.ch,5,0,0187,PP1-I-2,L4TI,8,0
alio2-cr1-flp192.cern.ch,5,1,0176,PP1-O-2,L4TO,7,8
alio2-cr1-flp193.cern.ch,6,0,0177,PP1-I-5,L4BI,7,23
alio2-cr1-flp193.cern.ch,6,1,0178,PP1-O-5,L4BO,8,15
alio2-cr1-flp194.cern.ch,7,0,0194,PP1-I-1,L5TI,10,0
alio2-cr1-flp194.cern.ch,7,1,0174,PP1-O-1,L5TO,11,10
alio2-cr1-flp195.cern.ch,8,0,0180,PP1-I-6,L5BI,11,31
alio2-cr1-flp195.cern.ch,8,1,0193,PP1-O-6,L5BO,10,21
alio2-cr1-flp196.cern.ch,9,0,0185,PP1-I-0,L6TI,12,0
alio2-cr1-flp196.cern.ch,9,1,0189,PP1-O-0,L6TO,12,12
alio2-cr1-flp197.cern.ch,10,0,0186,PP1-I-7,L6BI,12,36
alio2-cr1-flp197.cern.ch,10,1,0195,PP1-O-7,L6BO,12,24
