layer,board_id_in_layer,ru_sn
0,  0,  28
0,  1,  42
0,  2, 122
0,  3,  94
0,  4,  49
0,  5,  52
0,  6, 187
0,  7,  90
0,  8, 102
0,  9, 134
0, 10, 127
0, 11, 259
1,  0,  54
1,  1,  59
1,  2,  61
1,  3,  62
1,  4, 167
1,  5,  66
1,  6,  64
1,  7, 120
1,  8, 199
1,  9, 201
1, 10, 212
1, 11, 217
1, 12, 230
1, 13, 242
1, 14, 244
1, 15, 250
2,  0,  63
2,  1,  58
2,  2,  44
2,  3,  46
2,  4,  50
2,  5,  51
2,  6, 219
2,  7,  21
2,  8,  29
2,  9,  35
2, 10,  99
2, 11,  93
2, 12,  97
2, 13,  45
2, 14,  92
2, 15,  96
2, 16, 125
2, 17, 319
2, 18, 168
2, 19, 188
3,  0, 106
3,  1, 304
3,  2, 147
3,  3, 184
3,  4, 293
3,  5, 200
3,  6, 233
3,  7,  43
3,  8, 173
3,  9, 172
3, 10, 177
3, 11, 175
3, 12,   2
3, 13, 215
3, 14, 108
3, 15, 265
3, 16, 223
3, 17,  53
3, 18, 183
3, 19,   7
3, 20, 191
3, 21, 190
3, 22, 284
3, 23, 299
4,  0, 222
4,  1, 241
4,  2, 252
4,  3, 251
4,  4, 202
4,  5, 282
4,  6, 181
4,  7, 300
4,  8, 302
4,  9, 309
4, 10, 270
4, 11, 255
4, 12, 203
4, 13, 208
4, 14, 277
4, 15, 137
4, 16, 229
4, 17, 272
4, 18, 148
4, 19, 297
4, 20, 253
4, 21,  84
4, 22, 279
4, 23, 105
4, 24, 258
4, 25, 121
4, 26, 119
4, 27, 116
4, 28, 135
4, 29, 126
5,  0, 132
5,  1, 225
5,  2, 240
5,  3, 266
5,  4, 128
5,  5, 123
5,  6, 170
5,  7, 234
5,  8, 320
5,  9, 186
5, 10, 245
5, 11, 192
5, 12, 206
5, 13, 189
5, 14, 213
5, 15,   6
5, 16, 228
5, 17, 136
5, 18, 197
5, 19,  82
5, 20, 100
5, 21, 214
5, 22, 207
5, 23, 248
5, 24, 262
5, 25, 263
5, 26,  65
5, 27,  56
5, 28,   1
5, 29, 210
5, 30, 247
5, 31, 246
5, 32, 271
5, 33, 281
5, 34, 285
5, 35, 287
5, 36, 289
5, 37, 113
5, 38, 193
5, 39, 194
5, 40, 195
5, 41, 198
6,  0,  36
6,  1,  60
6,  2,  41
6,  3,  40
6,  4,  80
6,  5,  57
6,  6, 185
6,  7,  79
6,  8,  91
6,  9,  78
6, 10,   5
6, 11, 306
6, 12,  39
6, 13,  32
6, 14,  23
6, 15,  24
6, 16,  22
6, 17,  88
6, 18,  25
6, 19,  89
6, 20,  87
6, 21,  47
6, 22,  81
6, 23,  33
6, 24, 115
6, 25, 283
6, 26, 104
6, 27, 290
6, 28, 254
6, 29, 110
6, 30, 103
6, 31, 286
6, 32, 257
6, 33, 174
6, 34,  13
6, 35, 318
6, 36, 180
6, 37, 274
6, 38, 275
6, 39, 278
6, 40, 276
6, 41, 160
6, 42, 280
6, 43,   3
6, 44, 209
6, 45, 227
6, 46, 256
6, 47,  15
